Date,Time,O,H,L,C,Turn,Vol
10/26,09:15,26231.0,26231.0,26231.0,26231.0,0.0,147.0
10/26,09:16,26234.0,26257.0,26195.0,26201.0,0.0,1815.0
10/26,09:17,26200.0,26221.0,26196.0,26203.0,0.0,834.0
10/26,09:18,26204.0,26225.0,26201.0,26214.0,0.0,787.0
10/26,09:19,26212.0,26217.0,26203.0,26206.0,0.0,307.0
10/26,09:20,26206.0,26214.0,26197.0,26209.0,0.0,276.0
10/26,09:21,26210.0,26215.0,26199.0,26207.0,0.0,340.0
10/26,09:22,26206.0,26222.0,26203.0,26217.0,0.0,322.0
10/26,09:23,26217.0,26240.0,26214.0,26240.0,0.0,348.0
10/26,09:24,26239.0,26254.0,26231.0,26232.0,0.0,408.0
10/26,09:25,26231.0,26231.0,26202.0,26213.0,0.0,509.0
10/26,09:26,26213.0,26215.0,26198.0,26200.0,0.0,381.0
10/26,09:27,26201.0,26204.0,26185.0,26189.0,0.0,410.0
10/26,09:28,26191.0,26199.0,26189.0,26199.0,0.0,295.0
10/26,09:29,26199.0,26204.0,26181.0,26189.0,0.0,455.0
10/26,09:30,26189.0,26190.0,26175.0,26179.0,0.0,256.0
10/26,09:31,26179.0,26180.0,26111.0,26112.0,0.0,3104.0
10/26,09:32,26112.0,26137.0,26099.0,26131.0,0.0,1412.0
10/26,09:33,26131.0,26132.0,26095.0,26126.0,0.0,1106.0
10/26,09:34,26125.0,26132.0,26101.0,26114.0,0.0,751.0
10/26,09:35,26114.0,26148.0,26100.0,26112.0,0.0,938.0
10/26,09:36,26112.0,26155.0,26099.0,26151.0,0.0,1224.0
10/26,09:37,26154.0,26168.0,26141.0,26162.0,0.0,885.0
10/26,09:38,26163.0,26188.0,26162.0,26172.0,0.0,1644.0
10/26,09:39,26172.0,26181.0,26156.0,26167.0,0.0,566.0
10/26,09:40,26165.0,26178.0,26144.0,26168.0,0.0,601.0
10/26,09:41,26170.0,26185.0,26149.0,26154.0,0.0,649.0
10/26,09:42,26155.0,26160.0,26128.0,26134.0,0.0,784.0
10/26,09:43,26134.0,26138.0,26101.0,26114.0,0.0,1339.0
10/26,09:44,26113.0,26120.0,26093.0,26103.0,0.0,799.0
10/26,09:45,26103.0,26109.0,26082.0,26086.0,0.0,623.0
10/26,09:46,26084.0,26094.0,26074.0,26078.0,0.0,869.0
10/26,09:47,26076.0,26099.0,26073.0,26094.0,0.0,496.0
10/26,09:48,26094.0,26100.0,26075.0,26079.0,0.0,625.0
10/26,09:49,26080.0,26088.0,26051.0,26065.0,0.0,835.0
10/26,09:50,26065.0,26091.0,26065.0,26071.0,0.0,549.0
10/26,09:51,26071.0,26098.0,26057.0,26098.0,0.0,543.0
10/26,09:52,26097.0,26125.0,26094.0,26117.0,0.0,750.0
10/26,09:53,26116.0,26118.0,26096.0,26099.0,0.0,452.0
10/26,09:54,26098.0,26108.0,26089.0,26089.0,0.0,337.0
10/26,09:55,26090.0,26124.0,26088.0,26119.0,0.0,467.0
10/26,09:56,26120.0,26129.0,26104.0,26128.0,0.0,845.0
10/26,09:57,26128.0,26132.0,26117.0,26119.0,0.0,373.0
10/26,09:58,26118.0,26118.0,26093.0,26101.0,0.0,405.0
10/26,09:59,26101.0,26102.0,26077.0,26077.0,0.0,844.0
10/26,10:00,26078.0,26079.0,26062.0,26065.0,0.0,583.0
10/26,10:01,26063.0,26074.0,26047.0,26069.0,0.0,823.0
10/26,10:02,26070.0,26078.0,26051.0,26054.0,0.0,717.0
10/26,10:03,26053.0,26062.0,26036.0,26046.0,0.0,1305.0
10/26,10:04,26046.0,26072.0,26038.0,26068.0,0.0,1085.0
10/26,10:05,26066.0,26069.0,26049.0,26053.0,0.0,876.0
10/26,10:06,26051.0,26071.0,26045.0,26062.0,0.0,386.0
10/26,10:07,26061.0,26065.0,26044.0,26064.0,0.0,365.0
10/26,10:08,26063.0,26071.0,26049.0,26052.0,0.0,574.0
10/26,10:09,26053.0,26083.0,26050.0,26081.0,0.0,2610.0
10/26,10:10,26081.0,26088.0,26067.0,26079.0,0.0,940.0
10/26,10:11,26079.0,26084.0,26070.0,26082.0,0.0,558.0
10/26,10:12,26081.0,26100.0,26077.0,26096.0,0.0,701.0
10/26,10:13,26097.0,26112.0,26088.0,26103.0,0.0,563.0
10/26,10:14,26106.0,26121.0,26101.0,26113.0,0.0,464.0
10/26,10:15,26112.0,26119.0,26104.0,26117.0,0.0,773.0
10/26,10:16,26117.0,26130.0,26102.0,26112.0,0.0,568.0
10/26,10:17,26109.0,26113.0,26092.0,26095.0,0.0,623.0
10/26,10:18,26095.0,26109.0,26093.0,26096.0,0.0,417.0
10/26,10:19,26095.0,26098.0,26087.0,26089.0,0.0,717.0
10/26,10:20,26091.0,26100.0,26084.0,26094.0,0.0,744.0
10/26,10:21,26095.0,26108.0,26088.0,26095.0,0.0,283.0
10/26,10:22,26095.0,26099.0,26074.0,26083.0,0.0,296.0
10/26,10:23,26082.0,26094.0,26074.0,26081.0,0.0,287.0
10/26,10:24,26081.0,26095.0,26077.0,26092.0,0.0,179.0
10/26,10:25,26092.0,26122.0,26087.0,26114.0,0.0,435.0
10/26,10:26,26115.0,26115.0,26102.0,26104.0,0.0,262.0
10/26,10:27,26103.0,26105.0,26091.0,26094.0,0.0,214.0
10/26,10:28,26095.0,26102.0,26087.0,26094.0,0.0,181.0
10/26,10:29,26092.0,26100.0,26081.0,26094.0,0.0,254.0
10/26,10:30,26094.0,26109.0,26090.0,26092.0,0.0,481.0
10/26,10:31,26091.0,26101.0,26082.0,26086.0,0.0,195.0
10/26,10:32,26085.0,26085.0,26066.0,26073.0,0.0,452.0
10/26,10:33,26072.0,26081.0,26064.0,26074.0,0.0,2428.0
10/26,10:34,26073.0,26076.0,26068.0,26075.0,0.0,437.0
10/26,10:35,26075.0,26082.0,26070.0,26074.0,0.0,180.0
10/26,10:36,26075.0,26075.0,26056.0,26065.0,0.0,438.0
10/26,10:37,26064.0,26071.0,26053.0,26056.0,0.0,314.0
10/26,10:38,26057.0,26064.0,26048.0,26050.0,0.0,441.0
10/26,10:39,26051.0,26058.0,26047.0,26058.0,0.0,272.0
10/26,10:40,26059.0,26077.0,26052.0,26073.0,0.0,345.0
10/26,10:41,26073.0,26085.0,26071.0,26081.0,0.0,219.0
