Date,Time,O,H,L,C,Turn,Vol
10/15,09:15,25143.0,25143.0,25143.0,25143.0,0.0,527.0
10/15,09:16,25143.0,25222.0,25140.0,25180.0,0.0,1609.0
10/15,09:17,25179.0,25201.0,25164.0,25167.0,0.0,542.0
10/15,09:18,25167.0,25182.0,25134.0,25145.0,0.0,533.0
10/15,09:19,25143.0,25145.0,25090.0,25099.0,0.0,904.0
10/15,09:20,25093.0,25125.0,25084.0,25110.0,0.0,383.0
10/15,09:21,25106.0,25114.0,25047.0,25050.0,0.0,693.0
10/15,09:22,25050.0,25077.0,25034.0,25065.0,0.0,655.0
10/15,09:23,25062.0,25073.0,25046.0,25068.0,0.0,418.0
10/15,09:24,25067.0,25085.0,25056.0,25085.0,0.0,364.0
10/15,09:25,25086.0,25106.0,25079.0,25085.0,0.0,419.0
10/15,09:26,25084.0,25087.0,25051.0,25065.0,0.0,385.0
10/15,09:27,25064.0,25075.0,25053.0,25065.0,0.0,131.0
10/15,09:28,25064.0,25093.0,25064.0,25085.0,0.0,299.0
10/15,09:29,25084.0,25095.0,25079.0,25093.0,0.0,172.0
10/15,09:30,25096.0,25104.0,25085.0,25096.0,0.0,162.0
10/15,09:31,25095.0,25113.0,25020.0,25047.0,0.0,1845.0
10/15,09:32,25049.0,25049.0,24995.0,25000.0,0.0,1310.0
10/15,09:33,25002.0,25002.0,24907.0,24932.0,0.0,1759.0
10/15,09:34,24928.0,24963.0,24918.0,24937.0,0.0,1295.0
10/15,09:35,24936.0,24948.0,24878.0,24916.0,0.0,1265.0
10/15,09:36,24915.0,24981.0,24891.0,24978.0,0.0,1235.0
10/15,09:37,24979.0,25010.0,24978.0,24983.0,0.0,1094.0
10/15,09:38,24983.0,24998.0,24968.0,24972.0,0.0,1053.0
10/15,09:39,24972.0,25026.0,24972.0,25017.0,0.0,926.0
10/15,09:40,25018.0,25038.0,24968.0,24992.0,0.0,972.0
10/15,09:41,24990.0,24995.0,24912.0,24951.0,0.0,1252.0
10/15,09:42,24952.0,24965.0,24940.0,24941.0,0.0,570.0
10/15,09:43,24943.0,24988.0,24932.0,24966.0,0.0,596.0
10/15,09:44,24965.0,24973.0,24913.0,24929.0,0.0,720.0
10/15,09:45,24932.0,24939.0,24897.0,24920.0,0.0,607.0
10/15,09:46,24920.0,24936.0,24882.0,24906.0,0.0,607.0
10/15,09:47,24909.0,24932.0,24903.0,24917.0,0.0,357.0
10/15,09:48,24920.0,24954.0,24911.0,24935.0,0.0,589.0
10/15,09:49,24933.0,24935.0,24914.0,24921.0,0.0,378.0
10/15,09:50,24920.0,24944.0,24903.0,24914.0,0.0,465.0
10/15,09:51,24912.0,24940.0,24908.0,24930.0,0.0,310.0
10/15,09:52,24928.0,24942.0,24893.0,24926.0,0.0,581.0
10/15,09:53,24929.0,24971.0,24919.0,24947.0,0.0,814.0
10/15,09:54,24946.0,24947.0,24879.0,24890.0,0.0,685.0
10/15,09:55,24891.0,24921.0,24860.0,24910.0,0.0,878.0
10/15,09:56,24907.0,24925.0,24878.0,24923.0,0.0,578.0
10/15,09:57,24924.0,24939.0,24910.0,24912.0,0.0,386.0
10/15,09:58,24917.0,24949.0,24906.0,24942.0,0.0,405.0
10/15,09:59,24941.0,24960.0,24927.0,24959.0,0.0,428.0
10/15,10:00,24959.0,24968.0,24931.0,24964.0,0.0,317.0
10/15,10:01,24963.0,24967.0,24933.0,24949.0,0.0,575.0
10/15,10:02,24947.0,24953.0,24930.0,24944.0,0.0,312.0
10/15,10:03,24942.0,24952.0,24923.0,24946.0,0.0,399.0
10/15,10:04,24944.0,24944.0,24926.0,24930.0,0.0,182.0
10/15,10:05,24931.0,24944.0,24922.0,24932.0,0.0,282.0
10/15,10:06,24931.0,24933.0,24903.0,24919.0,0.0,297.0
10/15,10:07,24920.0,24948.0,24915.0,24945.0,0.0,240.0
10/15,10:08,24944.0,24947.0,24917.0,24933.0,0.0,203.0
10/15,10:09,24934.0,24960.0,24932.0,24949.0,0.0,301.0
10/15,10:10,24952.0,24963.0,24938.0,24961.0,0.0,185.0
10/15,10:11,24962.0,25004.0,24962.0,24992.0,0.0,843.0
10/15,10:12,24993.0,25015.0,24988.0,25013.0,0.0,286.0
10/15,10:13,25010.0,25018.0,25000.0,25007.0,0.0,326.0
10/15,10:14,25007.0,25007.0,24987.0,24997.0,0.0,323.0
10/15,10:15,24999.0,24999.0,24988.0,24995.0,0.0,200.0
10/15,10:16,24995.0,25070.0,24989.0,25058.0,0.0,1402.0
10/15,10:17,25058.0,25075.0,25045.0,25069.0,0.0,910.0
10/15,10:18,25070.0,25076.0,25060.0,25064.0,0.0,481.0
10/15,10:19,25063.0,25089.0,25050.0,25086.0,0.0,612.0
10/15,10:20,25085.0,25123.0,25083.0,25120.0,0.0,854.0
10/15,10:21,25123.0,25132.0,25119.0,25123.0,0.0,658.0
10/15,10:22,25123.0,25139.0,25112.0,25119.0,0.0,618.0
10/15,10:23,25118.0,25133.0,25110.0,25132.0,0.0,542.0
10/15,10:24,25132.0,25165.0,25122.0,25162.0,0.0,1193.0
10/15,10:25,25162.0,25168.0,25135.0,25136.0,0.0,745.0
10/15,10:26,25138.0,25154.0,25132.0,25144.0,0.0,729.0
10/15,10:27,25143.0,25154.0,25130.0,25140.0,0.0,891.0
10/15,10:28,25145.0,25158.0,25127.0,25133.0,0.0,736.0
10/15,10:29,25135.0,25156.0,25119.0,25143.0,0.0,843.0
10/15,10:30,25143.0,25152.0,25136.0,25144.0,0.0,252.0
10/15,10:31,25146.0,25173.0,25136.0,25149.0,0.0,876.0
10/15,10:32,25149.0,25190.0,25147.0,25172.0,0.0,754.0
10/15,10:33,25173.0,25184.0,25168.0,25169.0,0.0,440.0
10/15,10:34,25171.0,25193.0,25166.0,25179.0,0.0,404.0
10/15,10:35,25179.0,25209.0,25170.0,25172.0,0.0,885.0
10/15,10:36,25173.0,25186.0,25162.0,25166.0,0.0,754.0
10/15,10:37,25168.0,25175.0,25142.0,25147.0,0.0,851.0
10/15,10:38,25150.0,25175.0,25146.0,25152.0,0.0,522.0
10/15,10:39,25154.0,25175.0,25146.0,25152.0,0.0,658.0
10/15,10:40,25150.0,25155.0,25135.0,25150.0,0.0,454.0
10/15,10:41,25153.0,25163.0,25142.0,25156.0,0.0,304.0
10/15,10:42,25154.0,25162.0,25136.0,25144.0,0.0,370.0
10/15,10:43,25146.0,25153.0,25129.0,25153.0,0.0,352.0
10/15,10:44,25154.0,25162.0,25138.0,25138.0,0.0,692.0
10/15,10:45,25136.0,25146.0,25129.0,25134.0,0.0,566.0
10/15,10:46,25136.0,25152.0,25128.0,25129.0,0.0,480.0
10/15,10:47,25131.0,25133.0,25111.0,25111.0,0.0,536.0
10/15,10:48,25111.0,25114.0,25094.0,25110.0,0.0,855.0
10/15,10:49,25111.0,25127.0,25103.0,25124.0,0.0,678.0
10/15,10:50,25125.0,25138.0,25119.0,25130.0,0.0,584.0
10/15,10:51,25128.0,25134.0,25111.0,25122.0,0.0,247.0
10/15,10:52,25122.0,25133.0,25118.0,25127.0,0.0,156.0
10/15,10:53,25125.0,25142.0,25125.0,25135.0,0.0,199.0
10/15,10:54,25136.0,25140.0,25116.0,25116.0,0.0,148.0
10/15,10:55,25116.0,25118.0,25097.0,25101.0,0.0,365.0
10/15,10:56,25102.0,25102.0,25077.0,25095.0,0.0,725.0
10/15,10:57,25096.0,25109.0,25093.0,25107.0,0.0,469.0
10/15,10:58,25107.0,25128.0,25107.0,25120.0,0.0,226.0
10/15,10:59,25124.0,25132.0,25115.0,25116.0,0.0,356.0
10/15,11:00,25115.0,25117.0,25105.0,25114.0,0.0,268.0
10/15,11:01,25114.0,25124.0,25091.0,25095.0,0.0,353.0
10/15,11:02,25093.0,25107.0,25091.0,25099.0,0.0,169.0
10/15,11:03,25098.0,25102.0,25086.0,25098.0,0.0,176.0
