Date,Time,O,H,L,C,Turn,Vol
10/12,09:15,24897.0,24897.0,24897.0,24897.0,0.0,409.0
10/12,09:16,24897.0,24937.0,24880.0,24917.0,0.0,1328.0
10/12,09:17,24917.0,24940.0,24901.0,24935.0,0.0,561.0
10/12,09:18,24935.0,24948.0,24922.0,24937.0,0.0,428.0
10/12,09:19,24938.0,24970.0,24929.0,24968.0,0.0,407.0
10/12,09:20,24967.0,24980.0,24964.0,24966.0,0.0,479.0
10/12,09:21,24969.0,24994.0,24968.0,24991.0,0.0,477.0
10/12,09:22,24990.0,25050.0,24990.0,25043.0,0.0,895.0
10/12,09:23,25042.0,25046.0,25006.0,25009.0,0.0,803.0
10/12,09:24,25007.0,25012.0,24996.0,24996.0,0.0,239.0
10/12,09:25,24995.0,25018.0,24991.0,25015.0,0.0,312.0
10/12,09:26,25016.0,25022.0,25000.0,25014.0,0.0,291.0
10/12,09:27,25013.0,25014.0,24979.0,24995.0,0.0,410.0
10/12,09:28,24994.0,25005.0,24983.0,24995.0,0.0,223.0
10/12,09:29,24997.0,25004.0,24978.0,24980.0,0.0,198.0
10/12,09:30,24982.0,24989.0,24961.0,24971.0,0.0,415.0
10/12,09:31,24969.0,24975.0,24920.0,24942.0,0.0,1791.0
10/12,09:32,24945.0,24967.0,24917.0,24955.0,0.0,1244.0
10/12,09:33,24955.0,24965.0,24911.0,24935.0,0.0,1119.0
10/12,09:34,24932.0,24932.0,24884.0,24891.0,0.0,1226.0
10/12,09:35,24891.0,24924.0,24875.0,24918.0,0.0,1138.0
10/12,09:36,24918.0,24922.0,24860.0,24870.0,0.0,1362.0
10/12,09:37,24869.0,24909.0,24868.0,24892.0,0.0,706.0
10/12,09:38,24894.0,24928.0,24887.0,24923.0,0.0,761.0
10/12,09:39,24922.0,24959.0,24908.0,24957.0,0.0,817.0
10/12,09:40,24955.0,24984.0,24941.0,24979.0,0.0,805.0
10/12,09:41,24981.0,24982.0,24947.0,24948.0,0.0,719.0
10/12,09:42,24947.0,24949.0,24912.0,24928.0,0.0,704.0
10/12,09:43,24926.0,24972.0,24923.0,24960.0,0.0,635.0
10/12,09:44,24960.0,25035.0,24958.0,25030.0,0.0,1191.0
10/12,09:45,25028.0,25057.0,25008.0,25012.0,0.0,1075.0
10/12,09:46,25010.0,25016.0,24975.0,25007.0,0.0,800.0
10/12,09:47,25008.0,25080.0,25007.0,25070.0,0.0,1257.0
10/12,09:48,25066.0,25089.0,25052.0,25062.0,0.0,704.0
10/12,09:49,25063.0,25083.0,25053.0,25056.0,0.0,484.0
10/12,09:50,25054.0,25078.0,25049.0,25061.0,0.0,404.0
10/12,09:51,25061.0,25069.0,25036.0,25050.0,0.0,527.0
10/12,09:52,25051.0,25094.0,25045.0,25062.0,0.0,689.0
10/12,09:53,25060.0,25084.0,25048.0,25082.0,0.0,475.0
10/12,09:54,25084.0,25104.0,25027.0,25029.0,0.0,926.0
10/12,09:55,25029.0,25038.0,24996.0,25005.0,0.0,899.0
10/12,09:56,25004.0,25053.0,24994.0,25052.0,0.0,823.0
10/12,09:57,25054.0,25067.0,25042.0,25058.0,0.0,474.0
10/12,09:58,25058.0,25089.0,25044.0,25072.0,0.0,505.0
10/12,09:59,25071.0,25075.0,25058.0,25074.0,0.0,212.0
10/12,10:00,25073.0,25092.0,25065.0,25071.0,0.0,456.0
10/12,10:01,25069.0,25074.0,25046.0,25074.0,0.0,485.0
10/12,10:02,25075.0,25126.0,25075.0,25118.0,0.0,1024.0
10/12,10:03,25119.0,25119.0,25092.0,25109.0,0.0,501.0
10/12,10:04,25110.0,25121.0,25097.0,25109.0,0.0,270.0
10/12,10:05,25105.0,25121.0,25090.0,25098.0,0.0,345.0
