Date,Time,O,H,L,C,Turn,Vol
10/06,09:15,24180.0,24180.0,24180.0,24180.0,0.0,175.0
10/06,09:16,24199.0,24204.0,24125.0,24135.0,0.0,925.0
10/06,09:17,24134.0,24158.0,24124.0,24137.0,0.0,792.0
10/06,09:18,24135.0,24154.0,24118.0,24145.0,0.0,410.0
10/06,09:19,24145.0,24175.0,24141.0,24163.0,0.0,328.0
10/06,09:20,24161.0,24183.0,24159.0,24174.0,0.0,330.0
10/06,09:21,24175.0,24187.0,24160.0,24161.0,0.0,337.0
10/06,09:22,24164.0,24168.0,24137.0,24149.0,0.0,544.0
10/06,09:23,24147.0,24162.0,24143.0,24157.0,0.0,233.0
10/06,09:24,24159.0,24159.0,24128.0,24131.0,0.0,328.0
10/06,09:25,24130.0,24142.0,24121.0,24130.0,0.0,312.0
10/06,09:26,24129.0,24139.0,24122.0,24129.0,0.0,197.0
10/06,09:27,24130.0,24131.0,24117.0,24129.0,0.0,147.0
10/06,09:28,24128.0,24130.0,24097.0,24100.0,0.0,279.0
10/06,09:29,24102.0,24127.0,24100.0,24126.0,0.0,250.0
10/06,09:30,24126.0,24133.0,24114.0,24115.0,0.0,235.0
10/06,09:31,24116.0,24174.0,24098.0,24122.0,0.0,1818.0
10/06,09:32,24121.0,24124.0,24045.0,24063.0,0.0,1457.0
10/06,09:33,24064.0,24092.0,24047.0,24050.0,0.0,1036.0
10/06,09:34,24051.0,24086.0,24043.0,24065.0,0.0,787.0
10/06,09:35,24061.0,24097.0,24038.0,24038.0,0.0,923.0
10/06,09:36,24040.0,24060.0,24005.0,24023.0,0.0,1181.0
10/06,09:37,24023.0,24034.0,24005.0,24011.0,0.0,630.0
10/06,09:38,24010.0,24052.0,23998.0,24034.0,0.0,822.0
10/06,09:39,24030.0,24043.0,24018.0,24022.0,0.0,491.0
10/06,09:40,24023.0,24046.0,24002.0,24014.0,0.0,773.0
10/06,09:41,24014.0,24014.0,23971.0,23975.0,0.0,969.0
10/06,09:42,23973.0,23977.0,23947.0,23968.0,0.0,921.0
10/06,09:43,23969.0,24010.0,23963.0,23987.0,0.0,726.0
10/06,09:44,23983.0,23984.0,23944.0,23955.0,0.0,707.0
10/06,09:45,23957.0,23980.0,23924.0,23924.0,0.0,828.0
10/06,09:46,23924.0,23951.0,23916.0,23944.0,0.0,762.0
10/06,09:47,23945.0,23950.0,23914.0,23926.0,0.0,538.0
10/06,09:48,23923.0,23923.0,23837.0,23843.0,0.0,2290.0
10/06,09:49,23842.0,23867.0,23809.0,23823.0,0.0,1355.0
10/06,09:50,23824.0,23885.0,23810.0,23876.0,0.0,1020.0
10/06,09:51,23876.0,23879.0,23796.0,23824.0,0.0,1476.0
10/06,09:52,23823.0,23859.0,23805.0,23839.0,0.0,821.0
10/06,09:53,23840.0,23842.0,23790.0,23793.0,0.0,843.0
10/06,09:54,23795.0,23802.0,23765.0,23769.0,0.0,1058.0
10/06,09:55,23766.0,23793.0,23755.0,23789.0,0.0,865.0
10/06,09:56,23787.0,23832.0,23778.0,23829.0,0.0,900.0
10/06,09:57,23828.0,23828.0,23789.0,23805.0,0.0,780.0
10/06,09:58,23807.0,23848.0,23806.0,23838.0,0.0,696.0
10/06,09:59,23836.0,23861.0,23816.0,23855.0,0.0,730.0
10/06,10:00,23854.0,23873.0,23837.0,23861.0,0.0,601.0
10/06,10:01,23861.0,23863.0,23815.0,23820.0,0.0,693.0
10/06,10:02,23819.0,23830.0,23802.0,23830.0,0.0,481.0
10/06,10:03,23830.0,23840.0,23805.0,23809.0,0.0,440.0
10/06,10:04,23808.0,23826.0,23785.0,23822.0,0.0,651.0
