Date,Time,O,H,L,C,Turn,Vol
10/18,09:15,25400.0,25400.0,25400.0,25400.0,0.0,179.0
10/18,09:16,25404.0,25438.0,25384.0,25437.0,0.0,836.0
10/18,09:17,25434.0,25438.0,25374.0,25374.0,0.0,667.0
10/18,09:18,25375.0,25398.0,25371.0,25379.0,0.0,336.0
10/18,09:19,25380.0,25380.0,25338.0,25359.0,0.0,559.0
10/18,09:20,25360.0,25387.0,25353.0,25382.0,0.0,259.0
10/18,09:21,25381.0,25404.0,25375.0,25394.0,0.0,550.0
10/18,09:22,25393.0,25408.0,25366.0,25367.0,0.0,588.0
10/18,09:23,25365.0,25401.0,25365.0,25382.0,0.0,896.0
10/18,09:24,25380.0,25397.0,25370.0,25392.0,0.0,647.0
10/18,09:25,25392.0,25397.0,25373.0,25389.0,0.0,699.0
10/18,09:26,25389.0,25390.0,25372.0,25380.0,0.0,498.0
10/18,09:27,25380.0,25395.0,25369.0,25392.0,0.0,446.0
10/18,09:28,25392.0,25410.0,25390.0,25394.0,0.0,568.0
10/18,09:29,25391.0,25404.0,25372.0,25385.0,0.0,482.0
10/18,09:30,25383.0,25393.0,25358.0,25360.0,0.0,278.0
10/18,09:31,25357.0,25367.0,25292.0,25309.0,0.0,1754.0
10/18,09:32,25310.0,25313.0,25279.0,25308.0,0.0,1064.0
10/18,09:33,25305.0,25315.0,25261.0,25269.0,0.0,1332.0
10/18,09:34,25268.0,25275.0,25240.0,25264.0,0.0,808.0
10/18,09:35,25261.0,25294.0,25245.0,25254.0,0.0,677.0
10/18,09:36,25252.0,25252.0,25215.0,25234.0,0.0,1188.0
10/18,09:37,25228.0,25234.0,25183.0,25194.0,0.0,775.0
10/18,09:38,25193.0,25221.0,25175.0,25203.0,0.0,728.0
10/18,09:39,25203.0,25218.0,25188.0,25194.0,0.0,615.0
10/18,09:40,25194.0,25200.0,25151.0,25167.0,0.0,847.0
10/18,09:41,25163.0,25184.0,25152.0,25152.0,0.0,608.0
10/18,09:42,25151.0,25183.0,25144.0,25156.0,0.0,578.0
10/18,09:43,25152.0,25165.0,25129.0,25141.0,0.0,797.0
10/18,09:44,25141.0,25151.0,25120.0,25148.0,0.0,828.0
10/18,09:45,25140.0,25155.0,25117.0,25136.0,0.0,775.0
10/18,09:46,25136.0,25140.0,25102.0,25118.0,0.0,840.0
10/18,09:47,25118.0,25128.0,25094.0,25125.0,0.0,652.0
10/18,09:48,25125.0,25136.0,25109.0,25129.0,0.0,560.0
10/18,09:49,25129.0,25152.0,25121.0,25146.0,0.0,530.0
10/18,09:50,25144.0,25167.0,25132.0,25152.0,0.0,546.0
10/18,09:51,25154.0,25162.0,25130.0,25161.0,0.0,560.0
10/18,09:52,25159.0,25181.0,25150.0,25167.0,0.0,465.0
10/18,09:53,25166.0,25191.0,25160.0,25178.0,0.0,488.0
10/18,09:54,25176.0,25186.0,25164.0,25176.0,0.0,438.0
10/18,09:55,25174.0,25174.0,25139.0,25146.0,0.0,485.0
10/18,09:56,25145.0,25172.0,25145.0,25171.0,0.0,315.0
10/18,09:57,25171.0,25203.0,25170.0,25193.0,0.0,557.0
10/18,09:58,25193.0,25221.0,25186.0,25207.0,0.0,554.0
