Date,Time,O,H,L,C,Turn,Vol
09/30,09:15,24380.0,24380.0,24380.0,24380.0,0.0,199.0
09/30,09:16,24397.0,24409.0,24322.0,24390.0,0.0,925.0
09/30,09:17,24388.0,24413.0,24380.0,24394.0,0.0,386.0
09/30,09:18,24396.0,24402.0,24365.0,24367.0,0.0,330.0
09/30,09:19,24370.0,24396.0,24350.0,24389.0,0.0,369.0
09/30,09:20,24393.0,24407.0,24383.0,24393.0,0.0,363.0
09/30,09:21,24390.0,24420.0,24383.0,24412.0,0.0,491.0
09/30,09:22,24412.0,24412.0,24378.0,24400.0,0.0,432.0
09/30,09:23,24400.0,24402.0,24355.0,24355.0,0.0,328.0
09/30,09:24,24359.0,24366.0,24345.0,24355.0,0.0,290.0
09/30,09:25,24355.0,24357.0,24343.0,24355.0,0.0,221.0
09/30,09:26,24356.0,24374.0,24353.0,24366.0,0.0,296.0
09/30,09:27,24367.0,24374.0,24357.0,24366.0,0.0,143.0
09/30,09:28,24366.0,24367.0,24347.0,24354.0,0.0,268.0
09/30,09:29,24354.0,24354.0,24328.0,24349.0,0.0,382.0
09/30,09:30,24352.0,24362.0,24340.0,24344.0,0.0,244.0
09/30,09:31,24343.0,24419.0,24333.0,24402.0,0.0,1802.0
09/30,09:32,24402.0,24403.0,24344.0,24345.0,0.0,1151.0
09/30,09:33,24345.0,24358.0,24312.0,24327.0,0.0,1368.0
09/30,09:34,24325.0,24358.0,24314.0,24340.0,0.0,935.0
09/30,09:35,24339.0,24384.0,24339.0,24376.0,0.0,929.0
09/30,09:36,24376.0,24378.0,24321.0,24353.0,0.0,1051.0
09/30,09:37,24353.0,24403.0,24352.0,24392.0,0.0,941.0
09/30,09:38,24394.0,24401.0,24356.0,24386.0,0.0,787.0
09/30,09:39,24385.0,24404.0,24376.0,24384.0,0.0,648.0
09/30,09:40,24383.0,24402.0,24350.0,24398.0,0.0,804.0
09/30,09:41,24398.0,24408.0,24357.0,24364.0,0.0,871.0
09/30,09:42,24363.0,24373.0,24341.0,24348.0,0.0,702.0
09/30,09:43,24346.0,24346.0,24278.0,24293.0,0.0,1787.0
09/30,09:44,24295.0,24320.0,24285.0,24311.0,0.0,619.0
09/30,09:45,24310.0,24327.0,24282.0,24310.0,0.0,778.0
09/30,09:46,24310.0,24365.0,24307.0,24345.0,0.0,993.0
09/30,09:47,24345.0,24400.0,24335.0,24399.0,0.0,838.0
09/30,09:48,24399.0,24465.0,24392.0,24446.0,0.0,1815.0
09/30,09:49,24445.0,24476.0,24404.0,24465.0,0.0,966.0
09/30,09:50,24464.0,24465.0,24415.0,24439.0,0.0,749.0
09/30,09:51,24439.0,24444.0,24405.0,24415.0,0.0,590.0
09/30,09:52,24417.0,24434.0,24408.0,24409.0,0.0,428.0
09/30,09:53,24411.0,24458.0,24386.0,24456.0,0.0,741.0
09/30,09:54,24453.0,24502.0,24447.0,24495.0,0.0,1224.0
09/30,09:55,24493.0,24511.0,24472.0,24508.0,0.0,801.0
09/30,09:56,24508.0,24520.0,24492.0,24515.0,0.0,696.0
09/30,09:57,24513.0,24527.0,24489.0,24519.0,0.0,629.0
09/30,09:58,24519.0,24537.0,24508.0,24522.0,0.0,517.0
09/30,09:59,24524.0,24549.0,24509.0,24510.0,0.0,597.0
09/30,10:00,24511.0,24511.0,24493.0,24498.0,0.0,430.0
09/30,10:01,24498.0,24515.0,24472.0,24474.0,0.0,508.0
09/30,10:02,24472.0,24475.0,24443.0,24453.0,0.0,624.0
09/30,10:03,24452.0,24455.0,24427.0,24453.0,0.0,578.0
09/30,10:04,24451.0,24465.0,24442.0,24449.0,0.0,449.0
09/30,10:05,24449.0,24450.0,24411.0,24432.0,0.0,646.0
09/30,10:06,24430.0,24436.0,24405.0,24406.0,0.0,458.0
09/30,10:07,24406.0,24431.0,24396.0,24409.0,0.0,640.0
09/30,10:08,24410.0,24432.0,24403.0,24432.0,0.0,292.0
09/30,10:09,24430.0,24432.0,24382.0,24389.0,0.0,520.0
09/30,10:10,24387.0,24395.0,24362.0,24364.0,0.0,689.0
09/30,10:11,24365.0,24380.0,24334.0,24337.0,0.0,686.0
09/30,10:12,24338.0,24355.0,24311.0,24312.0,0.0,665.0
09/30,10:13,24311.0,24338.0,24308.0,24329.0,0.0,646.0
09/30,10:14,24325.0,24327.0,24294.0,24300.0,0.0,612.0
09/30,10:15,24299.0,24314.0,24285.0,24297.0,0.0,451.0
09/30,10:16,24299.0,24330.0,24293.0,24323.0,0.0,481.0
09/30,10:17,24323.0,24350.0,24317.0,24347.0,0.0,693.0
09/30,10:18,24347.0,24359.0,24330.0,24353.0,0.0,490.0
09/30,10:19,24350.0,24383.0,24346.0,24380.0,0.0,442.0
09/30,10:20,24381.0,24385.0,24347.0,24347.0,0.0,397.0
09/30,10:21,24347.0,24370.0,24333.0,24365.0,0.0,497.0
09/30,10:22,24364.0,24377.0,24340.0,24360.0,0.0,274.0
09/30,10:23,24361.0,24379.0,24353.0,24359.0,0.0,318.0
09/30,10:24,24356.0,24385.0,24351.0,24382.0,0.0,250.0
09/30,10:25,24382.0,24382.0,24356.0,24372.0,0.0,241.0
09/30,10:26,24374.0,24390.0,24368.0,24376.0,0.0,297.0
09/30,10:27,24377.0,24405.0,24375.0,24398.0,0.0,374.0
09/30,10:28,24400.0,24415.0,24396.0,24399.0,0.0,348.0
09/30,10:29,24401.0,24405.0,24384.0,24402.0,0.0,198.0
09/30,10:30,24401.0,24411.0,24393.0,24399.0,0.0,247.0
09/30,10:31,24400.0,24402.0,24360.0,24364.0,0.0,441.0
09/30,10:32,24366.0,24367.0,24342.0,24348.0,0.0,600.0
09/30,10:33,24349.0,24371.0,24347.0,24348.0,0.0,248.0
09/30,10:34,24350.0,24350.0,24328.0,24339.0,0.0,526.0
09/30,10:35,24339.0,24349.0,24316.0,24318.0,0.0,395.0
09/30,10:36,24317.0,24337.0,24307.0,24321.0,0.0,479.0
09/30,10:37,24320.0,24348.0,24319.0,24336.0,0.0,250.0
09/30,10:38,24335.0,24335.0,24308.0,24324.0,0.0,363.0
09/30,10:39,24324.0,24347.0,24323.0,24337.0,0.0,274.0
09/30,10:40,24339.0,24381.0,24339.0,24379.0,0.0,434.0
09/30,10:41,24381.0,24393.0,24363.0,24388.0,0.0,376.0
09/30,10:42,24387.0,24404.0,24381.0,24383.0,0.0,324.0
09/30,10:43,24382.0,24422.0,24372.0,24422.0,0.0,464.0
09/30,10:44,24423.0,24447.0,24414.0,24440.0,0.0,435.0
09/30,10:45,24441.0,24447.0,24423.0,24425.0,0.0,233.0
09/30,10:46,24424.0,24454.0,24420.0,24427.0,0.0,353.0
09/30,10:47,24429.0,24429.0,24392.0,24396.0,0.0,314.0
09/30,10:48,24396.0,24421.0,24396.0,24419.0,0.0,280.0
09/30,10:49,24421.0,24423.0,24392.0,24405.0,0.0,219.0
09/30,10:50,24405.0,24405.0,24378.0,24384.0,0.0,282.0
09/30,10:51,24386.0,24409.0,24380.0,24395.0,0.0,202.0
09/30,10:52,24395.0,24405.0,24374.0,24400.0,0.0,201.0
09/30,10:53,24397.0,24410.0,24380.0,24385.0,0.0,164.0
09/30,10:54,24381.0,24398.0,24374.0,24392.0,0.0,255.0
09/30,10:55,24391.0,24396.0,24363.0,24369.0,0.0,333.0
09/30,10:56,24370.0,24370.0,24347.0,24359.0,0.0,306.0
09/30,10:57,24355.0,24362.0,24340.0,24351.0,0.0,157.0
09/30,10:58,24352.0,24381.0,24352.0,24376.0,0.0,195.0
09/30,10:59,24375.0,24407.0,24373.0,24406.0,0.0,215.0
09/30,11:00,24401.0,24417.0,24393.0,24393.0,0.0,246.0
09/30,11:01,24394.0,24411.0,24390.0,24402.0,0.0,162.0
09/30,11:02,24404.0,24418.0,24395.0,24405.0,0.0,149.0
09/30,11:03,24407.0,24409.0,24390.0,24402.0,0.0,151.0
09/30,11:04,24400.0,24404.0,24375.0,24381.0,0.0,189.0
09/30,11:05,24381.0,24405.0,24381.0,24405.0,0.0,189.0
09/30,11:06,24406.0,24408.0,24375.0,24397.0,0.0,213.0
09/30,11:07,24395.0,24398.0,24373.0,24378.0,0.0,139.0
09/30,11:08,24378.0,24378.0,24359.0,24365.0,0.0,269.0
09/30,11:09,24365.0,24374.0,24351.0,24369.0,0.0,209.0
09/30,11:10,24366.0,24394.0,24362.0,24384.0,0.0,179.0
09/30,11:11,24384.0,24385.0,24358.0,24368.0,0.0,144.0
