Date,Time,O,H,L,C,Turn,Vol
10/19,09:15,25500.0,25500.0,25500.0,25500.0,0.0,168.0
10/19,09:16,25501.0,25567.0,25497.0,25511.0,0.0,939.0
10/19,09:17,25512.0,25519.0,25472.0,25475.0,0.0,819.0
10/19,09:18,25475.0,25491.0,25462.0,25463.0,0.0,337.0
10/19,09:19,25465.0,25480.0,25465.0,25470.0,0.0,190.0
10/19,09:20,25471.0,25477.0,25453.0,25456.0,0.0,471.0
10/19,09:21,25457.0,25473.0,25455.0,25465.0,0.0,598.0
10/19,09:22,25465.0,25478.0,25455.0,25478.0,0.0,494.0
10/19,09:23,25478.0,25513.0,25477.0,25511.0,0.0,366.0
10/19,09:24,25511.0,25516.0,25494.0,25496.0,0.0,175.0
10/19,09:25,25496.0,25499.0,25485.0,25487.0,0.0,163.0
10/19,09:26,25486.0,25510.0,25485.0,25506.0,0.0,288.0
10/19,09:27,25506.0,25510.0,25496.0,25496.0,0.0,295.0
10/19,09:28,25496.0,25528.0,25490.0,25525.0,0.0,916.0
10/19,09:29,25524.0,25535.0,25520.0,25528.0,0.0,237.0
10/19,09:30,25528.0,25565.0,25528.0,25548.0,0.0,539.0
10/19,09:31,25548.0,25552.0,25480.0,25518.0,0.0,1752.0
10/19,09:32,25517.0,25536.0,25486.0,25499.0,0.0,964.0
10/19,09:33,25498.0,25513.0,25475.0,25487.0,0.0,932.0
10/19,09:34,25487.0,25497.0,25458.0,25465.0,0.0,745.0
10/19,09:35,25464.0,25483.0,25445.0,25465.0,0.0,616.0
10/19,09:36,25463.0,25514.0,25460.0,25481.0,0.0,1040.0
10/19,09:37,25478.0,25479.0,25447.0,25456.0,0.0,653.0
10/19,09:38,25455.0,25469.0,25444.0,25469.0,0.0,427.0
10/19,09:39,25469.0,25492.0,25445.0,25454.0,0.0,1111.0
10/19,09:40,25456.0,25481.0,25447.0,25479.0,0.0,524.0
10/19,09:41,25482.0,25491.0,25452.0,25455.0,0.0,682.0
10/19,09:42,25453.0,25487.0,25453.0,25470.0,0.0,459.0
10/19,09:43,25469.0,25493.0,25464.0,25472.0,0.0,556.0
10/19,09:44,25475.0,25489.0,25461.0,25474.0,0.0,523.0
10/19,09:45,25475.0,25497.0,25475.0,25495.0,0.0,457.0
10/19,09:46,25495.0,25543.0,25491.0,25536.0,0.0,1143.0
10/19,09:47,25537.0,25558.0,25530.0,25551.0,0.0,1048.0
10/19,09:48,25549.0,25599.0,25541.0,25592.0,0.0,990.0
10/19,09:49,25594.0,25608.0,25585.0,25596.0,0.0,796.0
10/19,09:50,25596.0,25602.0,25583.0,25597.0,0.0,458.0
10/19,09:51,25597.0,25612.0,25588.0,25594.0,0.0,588.0
10/19,09:52,25598.0,25607.0,25586.0,25606.0,0.0,466.0
10/19,09:53,25604.0,25633.0,25601.0,25623.0,0.0,783.0
10/19,09:54,25620.0,25637.0,25616.0,25630.0,0.0,424.0
10/19,09:55,25632.0,25689.0,25629.0,25688.0,0.0,1270.0
10/19,09:56,25688.0,25732.0,25687.0,25723.0,0.0,1485.0
10/19,09:57,25725.0,25730.0,25692.0,25700.0,0.0,724.0
10/19,09:58,25702.0,25714.0,25676.0,25681.0,0.0,635.0
10/19,09:59,25682.0,25699.0,25674.0,25697.0,0.0,448.0
10/19,10:00,25698.0,25700.0,25671.0,25674.0,0.0,388.0
10/19,10:01,25672.0,25695.0,25670.0,25670.0,0.0,435.0
10/19,10:02,25671.0,25687.0,25665.0,25677.0,0.0,432.0
10/19,10:03,25678.0,25696.0,25671.0,25674.0,0.0,326.0
10/19,10:04,25673.0,25689.0,25662.0,25663.0,0.0,329.0
10/19,10:05,25665.0,25691.0,25659.0,25690.0,0.0,313.0
10/19,10:06,25692.0,25705.0,25677.0,25678.0,0.0,702.0
10/19,10:07,25678.0,25685.0,25670.0,25671.0,0.0,219.0
10/19,10:08,25671.0,25695.0,25665.0,25690.0,0.0,302.0
10/19,10:09,25690.0,25692.0,25671.0,25690.0,0.0,182.0
10/19,10:10,25688.0,25700.0,25678.0,25691.0,0.0,426.0
10/19,10:11,25689.0,25705.0,25682.0,25685.0,0.0,353.0
10/19,10:12,25686.0,25693.0,25670.0,25690.0,0.0,296.0
10/19,10:13,25693.0,25694.0,25678.0,25681.0,0.0,158.0
10/19,10:14,25683.0,25708.0,25683.0,25698.0,0.0,482.0
10/19,10:15,25698.0,25709.0,25692.0,25707.0,0.0,712.0
10/19,10:16,25705.0,25728.0,25705.0,25723.0,0.0,604.0
10/19,10:17,25724.0,25738.0,25710.0,25711.0,0.0,563.0
10/19,10:18,25712.0,25719.0,25702.0,25710.0,0.0,287.0
10/19,10:19,25709.0,25728.0,25701.0,25726.0,0.0,302.0
10/19,10:20,25727.0,25734.0,25718.0,25727.0,0.0,282.0
10/19,10:21,25729.0,25733.0,25711.0,25725.0,0.0,453.0
10/19,10:22,25727.0,25745.0,25725.0,25731.0,0.0,419.0
10/19,10:23,25731.0,25741.0,25725.0,25726.0,0.0,409.0
10/19,10:24,25727.0,25738.0,25726.0,25733.0,0.0,179.0
10/19,10:25,25733.0,25751.0,25732.0,25751.0,0.0,346.0
10/19,10:26,25751.0,25752.0,25738.0,25749.0,0.0,202.0
10/19,10:27,25750.0,25751.0,25731.0,25743.0,0.0,300.0
10/19,10:28,25745.0,25760.0,25743.0,25756.0,0.0,374.0
10/19,10:29,25757.0,25760.0,25751.0,25756.0,0.0,172.0
10/19,10:30,25756.0,25772.0,25750.0,25765.0,0.0,427.0
10/19,10:31,25769.0,25798.0,25768.0,25794.0,0.0,648.0
10/19,10:32,25795.0,25802.0,25776.0,25777.0,0.0,482.0
10/19,10:33,25777.0,25786.0,25776.0,25783.0,0.0,217.0
10/19,10:34,25784.0,25785.0,25772.0,25778.0,0.0,197.0
10/19,10:35,25780.0,25788.0,25757.0,25760.0,0.0,396.0
10/19,10:36,25760.0,25774.0,25756.0,25763.0,0.0,376.0
10/19,10:37,25764.0,25773.0,25761.0,25762.0,0.0,215.0
10/19,10:38,25763.0,25763.0,25748.0,25751.0,0.0,362.0
10/19,10:39,25751.0,25770.0,25748.0,25755.0,0.0,367.0
10/19,10:40,25755.0,25758.0,25736.0,25738.0,0.0,290.0
10/19,10:41,25737.0,25752.0,25737.0,25740.0,0.0,342.0
10/19,10:42,25740.0,25745.0,25735.0,25745.0,0.0,166.0
10/19,10:43,25746.0,25753.0,25737.0,25748.0,0.0,193.0
10/19,10:44,25747.0,25752.0,25740.0,25750.0,0.0,106.0
10/19,10:45,25748.0,25759.0,25743.0,25748.0,0.0,214.0
10/19,10:46,25746.0,25749.0,25733.0,25737.0,0.0,217.0
10/19,10:47,25736.0,25753.0,25735.0,25753.0,0.0,169.0
10/19,10:48,25754.0,25757.0,25744.0,25745.0,0.0,136.0
10/19,10:49,25746.0,25749.0,25734.0,25742.0,0.0,115.0
10/19,10:50,25741.0,25754.0,25741.0,25748.0,0.0,120.0
10/19,10:51,25749.0,25760.0,25744.0,25751.0,0.0,166.0
10/19,10:52,25751.0,25760.0,25744.0,25756.0,0.0,133.0
10/19,10:53,25756.0,25760.0,25748.0,25750.0,0.0,124.0
10/19,10:54,25750.0,25752.0,25736.0,25741.0,0.0,142.0
10/19,10:55,25742.0,25750.0,25739.0,25739.0,0.0,89.0
10/19,10:56,25740.0,25747.0,25737.0,25740.0,0.0,154.0
10/19,10:57,25739.0,25741.0,25719.0,25721.0,0.0,333.0
10/19,10:58,25723.0,25727.0,25717.0,25719.0,0.0,154.0
10/19,10:59,25720.0,25737.0,25717.0,25732.0,0.0,152.0
10/19,11:00,25732.0,25736.0,25721.0,25725.0,0.0,119.0
10/19,11:01,25725.0,25741.0,25718.0,25738.0,0.0,214.0
10/19,11:02,25740.0,25756.0,25739.0,25753.0,0.0,223.0
10/19,11:03,25753.0,25762.0,25745.0,25761.0,0.0,169.0
10/19,11:04,25759.0,25765.0,25754.0,25762.0,0.0,194.0
10/19,11:05,25760.0,25768.0,25756.0,25764.0,0.0,138.0
10/19,11:06,25765.0,25772.0,25764.0,25770.0,0.0,201.0
10/19,11:07,25770.0,25782.0,25769.0,25779.0,0.0,232.0
10/19,11:08,25780.0,25785.0,25773.0,25777.0,0.0,238.0
10/19,11:09,25777.0,25781.0,25771.0,25773.0,0.0,153.0
10/19,11:10,25772.0,25773.0,25758.0,25766.0,0.0,236.0
10/19,11:11,25764.0,25770.0,25757.0,25769.0,0.0,184.0
10/19,11:12,25770.0,25780.0,25765.0,25777.0,0.0,190.0
10/19,11:13,25776.0,25779.0,25765.0,25765.0,0.0,142.0
10/19,11:14,25767.0,25777.0,25765.0,25777.0,0.0,112.0
10/19,11:15,25777.0,25782.0,25773.0,25780.0,0.0,254.0
10/19,11:16,25781.0,25783.0,25771.0,25773.0,0.0,133.0
10/19,11:17,25773.0,25780.0,25772.0,25777.0,0.0,96.0
10/19,11:18,25776.0,25776.0,25766.0,25767.0,0.0,87.0
10/19,11:19,25768.0,25772.0,25759.0,25759.0,0.0,148.0
10/19,11:20,25760.0,25761.0,25751.0,25754.0,0.0,117.0
10/19,11:21,25755.0,25756.0,25743.0,25743.0,0.0,151.0
10/19,11:22,25745.0,25754.0,25739.0,25750.0,0.0,200.0
10/19,11:23,25753.0,25754.0,25747.0,25752.0,0.0,71.0
10/19,11:24,25753.0,25755.0,25744.0,25749.0,0.0,66.0
10/19,11:25,25751.0,25751.0,25736.0,25739.0,0.0,132.0
10/19,11:26,25739.0,25744.0,25738.0,25742.0,0.0,83.0
