Date,Time,O,H,L,C,Turn,Vol
10/05,09:15,23861.0,23861.0,23861.0,23861.0,0.0,307.0
10/05,09:16,23861.0,23861.0,23788.0,23791.0,0.0,1221.0
10/05,09:17,23793.0,23831.0,23757.0,23764.0,0.0,934.0
10/05,09:18,23763.0,23766.0,23732.0,23737.0,0.0,850.0
10/05,09:19,23737.0,23750.0,23704.0,23704.0,0.0,482.0
10/05,09:20,23704.0,23725.0,23701.0,23718.0,0.0,589.0
10/05,09:21,23718.0,23735.0,23693.0,23696.0,0.0,776.0
10/05,09:22,23696.0,23723.0,23681.0,23686.0,0.0,681.0
10/05,09:23,23687.0,23692.0,23664.0,23681.0,0.0,566.0
10/05,09:24,23679.0,23708.0,23678.0,23681.0,0.0,536.0
10/05,09:25,23681.0,23694.0,23660.0,23677.0,0.0,618.0
10/05,09:26,23680.0,23719.0,23679.0,23699.0,0.0,396.0
10/05,09:27,23696.0,23713.0,23686.0,23706.0,0.0,588.0
10/05,09:28,23706.0,23718.0,23687.0,23690.0,0.0,266.0
10/05,09:29,23689.0,23718.0,23689.0,23715.0,0.0,192.0
10/05,09:30,23714.0,23732.0,23701.0,23703.0,0.0,321.0
10/05,09:31,23702.0,23728.0,23685.0,23701.0,0.0,1348.0
10/05,09:32,23700.0,23701.0,23643.0,23660.0,0.0,1294.0
10/05,09:33,23657.0,23690.0,23646.0,23679.0,0.0,1026.0
10/05,09:34,23678.0,23684.0,23646.0,23657.0,0.0,962.0
10/05,09:35,23659.0,23771.0,23651.0,23764.0,0.0,1441.0
10/05,09:36,23763.0,23795.0,23727.0,23744.0,0.0,1890.0
10/05,09:37,23744.0,23751.0,23711.0,23733.0,0.0,811.0
10/05,09:38,23731.0,23773.0,23715.0,23757.0,0.0,745.0
10/05,09:39,23755.0,23771.0,23747.0,23762.0,0.0,627.0
10/05,09:40,23764.0,23790.0,23737.0,23737.0,0.0,891.0
10/05,09:41,23735.0,23749.0,23702.0,23746.0,0.0,980.0
10/05,09:42,23745.0,23785.0,23741.0,23779.0,0.0,820.0
10/05,09:43,23779.0,23855.0,23777.0,23833.0,0.0,1607.0
10/05,09:44,23833.0,23849.0,23813.0,23842.0,0.0,1082.0
10/05,09:45,23841.0,23844.0,23800.0,23800.0,0.0,656.0
10/05,09:46,23802.0,23829.0,23800.0,23822.0,0.0,801.0
10/05,09:47,23823.0,23879.0,23823.0,23870.0,0.0,1169.0
10/05,09:48,23870.0,23888.0,23859.0,23868.0,0.0,751.0
10/05,09:49,23868.0,23871.0,23826.0,23835.0,0.0,587.0
10/05,09:50,23836.0,23899.0,23836.0,23898.0,0.0,807.0
10/05,09:51,23900.0,23922.0,23877.0,23914.0,0.0,1142.0
10/05,09:52,23916.0,23940.0,23898.0,23916.0,0.0,840.0
10/05,09:53,23917.0,23930.0,23892.0,23900.0,0.0,606.0
10/05,09:54,23898.0,23916.0,23873.0,23880.0,0.0,617.0
10/05,09:55,23880.0,23890.0,23851.0,23879.0,0.0,871.0
10/05,09:56,23879.0,23913.0,23872.0,23893.0,0.0,670.0
10/05,09:57,23892.0,23897.0,23845.0,23852.0,0.0,527.0
10/05,09:58,23852.0,23853.0,23827.0,23836.0,0.0,685.0
10/05,09:59,23837.0,23843.0,23797.0,23800.0,0.0,743.0
10/05,10:00,23801.0,23813.0,23786.0,23813.0,0.0,676.0
10/05,10:01,23814.0,23847.0,23786.0,23830.0,0.0,1082.0
10/05,10:02,23830.0,23862.0,23803.0,23815.0,0.0,655.0
10/05,10:03,23816.0,23830.0,23798.0,23809.0,0.0,424.0
10/05,10:04,23809.0,23834.0,23804.0,23829.0,0.0,260.0
10/05,10:05,23829.0,23890.0,23823.0,23875.0,0.0,735.0
10/05,10:06,23873.0,23935.0,23873.0,23926.0,0.0,1022.0
10/05,10:07,23928.0,23948.0,23909.0,23911.0,0.0,978.0
10/05,10:08,23914.0,23933.0,23880.0,23894.0,0.0,434.0
10/05,10:09,23893.0,23893.0,23855.0,23871.0,0.0,446.0
10/05,10:10,23868.0,23891.0,23864.0,23871.0,0.0,415.0
10/05,10:11,23868.0,23906.0,23865.0,23895.0,0.0,296.0
10/05,10:12,23897.0,23911.0,23881.0,23894.0,0.0,219.0
10/05,10:13,23889.0,23908.0,23882.0,23884.0,0.0,174.0
10/05,10:14,23884.0,23929.0,23884.0,23924.0,0.0,308.0
10/05,10:15,23924.0,23946.0,23911.0,23931.0,0.0,407.0
10/05,10:16,23931.0,23949.0,23926.0,23936.0,0.0,371.0
10/05,10:17,23933.0,23935.0,23889.0,23900.0,0.0,465.0
10/05,10:18,23898.0,23919.0,23896.0,23903.0,0.0,262.0
10/05,10:19,23905.0,23927.0,23897.0,23913.0,0.0,198.0
10/05,10:20,23914.0,23930.0,23902.0,23911.0,0.0,263.0
10/05,10:21,23910.0,23927.0,23903.0,23917.0,0.0,195.0
10/05,10:22,23914.0,23934.0,23911.0,23934.0,0.0,246.0
10/05,10:23,23932.0,23932.0,23887.0,23890.0,0.0,343.0
10/05,10:24,23888.0,23889.0,23836.0,23856.0,0.0,733.0
10/05,10:25,23857.0,23877.0,23848.0,23866.0,0.0,269.0
10/05,10:26,23868.0,23896.0,23866.0,23889.0,0.0,312.0
10/05,10:27,23887.0,23927.0,23886.0,23920.0,0.0,503.0
10/05,10:28,23922.0,23925.0,23903.0,23910.0,0.0,231.0
10/05,10:29,23908.0,23925.0,23899.0,23921.0,0.0,204.0
10/05,10:30,23922.0,23970.0,23922.0,23954.0,0.0,1061.0
10/05,10:31,23953.0,23977.0,23950.0,23973.0,0.0,526.0
10/05,10:32,23972.0,24002.0,23961.0,23966.0,0.0,807.0
10/05,10:33,23967.0,23976.0,23950.0,23960.0,0.0,354.0
10/05,10:34,23959.0,23970.0,23948.0,23948.0,0.0,236.0
10/05,10:35,23947.0,23954.0,23927.0,23930.0,0.0,293.0
10/05,10:36,23930.0,23992.0,23930.0,23991.0,0.0,443.0
10/05,10:37,23992.0,24005.0,23978.0,23989.0,0.0,489.0
10/05,10:38,23985.0,24016.0,23982.0,24012.0,0.0,425.0
10/05,10:39,24013.0,24034.0,24008.0,24020.0,0.0,1021.0
10/05,10:40,24020.0,24032.0,24017.0,24028.0,0.0,317.0
10/05,10:41,24028.0,24042.0,24018.0,24030.0,0.0,391.0
10/05,10:42,24030.0,24037.0,24004.0,24004.0,0.0,287.0
10/05,10:43,24007.0,24015.0,23994.0,23995.0,0.0,253.0
10/05,10:44,23995.0,24001.0,23987.0,23989.0,0.0,290.0
10/05,10:45,23988.0,24008.0,23983.0,24000.0,0.0,219.0
10/05,10:46,23998.0,24029.0,23998.0,24020.0,0.0,294.0
10/05,10:47,24019.0,24023.0,23997.0,24007.0,0.0,220.0
10/05,10:48,24008.0,24026.0,24005.0,24022.0,0.0,207.0
10/05,10:49,24024.0,24039.0,24015.0,24035.0,0.0,214.0
10/05,10:50,24037.0,24040.0,24025.0,24037.0,0.0,198.0
10/05,10:51,24039.0,24040.0,24016.0,24034.0,0.0,157.0
10/05,10:52,24033.0,24044.0,24031.0,24041.0,0.0,152.0
10/05,10:53,24042.0,24043.0,24021.0,24028.0,0.0,264.0
10/05,10:54,24030.0,24034.0,24015.0,24025.0,0.0,140.0
10/05,10:55,24025.0,24030.0,24012.0,24018.0,0.0,177.0
10/05,10:56,24016.0,24034.0,23991.0,23992.0,0.0,321.0
10/05,10:57,23994.0,24006.0,23992.0,23996.0,0.0,233.0
10/05,10:58,23996.0,24001.0,23979.0,23984.0,0.0,350.0
10/05,10:59,23986.0,24012.0,23986.0,24010.0,0.0,202.0
10/05,11:00,24009.0,24023.0,24006.0,24023.0,0.0,184.0
10/05,11:01,24021.0,24071.0,24015.0,24070.0,0.0,779.0
10/05,11:02,24070.0,24080.0,24055.0,24077.0,0.0,467.0
10/05,11:03,24075.0,24081.0,24057.0,24061.0,0.0,303.0
10/05,11:04,24062.0,24070.0,24056.0,24067.0,0.0,191.0
10/05,11:05,24068.0,24068.0,24044.0,24051.0,0.0,205.0
