Date,Time,O,H,L,C,Turn,Vol
10/08,09:15,24884.0,24884.0,24884.0,24884.0,0.0,334.0
10/08,09:16,24884.0,24937.0,24871.0,24927.0,0.0,1389.0
10/08,09:17,24928.0,24969.0,24927.0,24957.0,0.0,718.0
10/08,09:18,24958.0,24964.0,24940.0,24940.0,0.0,379.0
10/08,09:19,24944.0,24958.0,24935.0,24942.0,0.0,498.0
10/08,09:20,24941.0,24979.0,24925.0,24979.0,0.0,987.0
10/08,09:21,24979.0,24990.0,24954.0,24969.0,0.0,643.0
10/08,09:22,24969.0,24972.0,24934.0,24953.0,0.0,799.0
10/08,09:23,24951.0,24977.0,24944.0,24955.0,0.0,492.0
10/08,09:24,24958.0,24988.0,24953.0,24964.0,0.0,435.0
10/08,09:25,24967.0,24972.0,24934.0,24940.0,0.0,808.0
10/08,09:26,24942.0,24943.0,24905.0,24917.0,0.0,574.0
10/08,09:27,24917.0,24917.0,24888.0,24902.0,0.0,489.0
10/08,09:28,24901.0,24905.0,24886.0,24891.0,0.0,421.0
10/08,09:29,24890.0,24917.0,24885.0,24896.0,0.0,715.0
10/08,09:30,24893.0,24920.0,24891.0,24907.0,0.0,289.0
10/08,09:31,24906.0,24938.0,24896.0,24897.0,0.0,1746.0
10/08,09:32,24894.0,24925.0,24830.0,24849.0,0.0,1728.0
10/08,09:33,24851.0,24900.0,24841.0,24898.0,0.0,979.0
10/08,09:34,24898.0,24916.0,24828.0,24837.0,0.0,983.0
10/08,09:35,24838.0,24864.0,24799.0,24813.0,0.0,855.0
10/08,09:36,24812.0,24819.0,24776.0,24781.0,0.0,879.0
10/08,09:37,24786.0,24788.0,24738.0,24759.0,0.0,1084.0
10/08,09:38,24754.0,24831.0,24754.0,24804.0,0.0,1245.0
10/08,09:39,24805.0,24805.0,24766.0,24774.0,0.0,827.0
10/08,09:40,24774.0,24803.0,24751.0,24754.0,0.0,746.0
10/08,09:41,24755.0,24765.0,24724.0,24742.0,0.0,1096.0
10/08,09:42,24739.0,24798.0,24739.0,24784.0,0.0,780.0
10/08,09:43,24787.0,24822.0,24777.0,24783.0,0.0,765.0
10/08,09:44,24781.0,24800.0,24752.0,24752.0,0.0,672.0
10/08,09:45,24751.0,24770.0,24729.0,24760.0,0.0,634.0
10/08,09:46,24762.0,24767.0,24731.0,24733.0,0.0,755.0
10/08,09:47,24732.0,24778.0,24728.0,24769.0,0.0,593.0
10/08,09:48,24769.0,24791.0,24753.0,24788.0,0.0,541.0
10/08,09:49,24791.0,24801.0,24737.0,24742.0,0.0,684.0
10/08,09:50,24742.0,24758.0,24714.0,24714.0,0.0,715.0
10/08,09:51,24716.0,24736.0,24692.0,24731.0,0.0,1256.0
10/08,09:52,24730.0,24761.0,24721.0,24731.0,0.0,668.0
10/08,09:53,24734.0,24734.0,24710.0,24722.0,0.0,376.0
10/08,09:54,24719.0,24743.0,24693.0,24699.0,0.0,488.0
10/08,09:55,24700.0,24720.0,24694.0,24717.0,0.0,416.0
10/08,09:56,24719.0,24726.0,24686.0,24695.0,0.0,526.0
10/08,09:57,24695.0,24701.0,24666.0,24666.0,0.0,609.0
10/08,09:58,24665.0,24678.0,24654.0,24659.0,0.0,756.0
10/08,09:59,24657.0,24685.0,24654.0,24670.0,0.0,572.0
10/08,10:00,24668.0,24691.0,24659.0,24672.0,0.0,417.0
10/08,10:01,24671.0,24694.0,24657.0,24681.0,0.0,474.0
10/08,10:02,24679.0,24734.0,24679.0,24733.0,0.0,814.0
10/08,10:03,24728.0,24748.0,24726.0,24744.0,0.0,563.0
10/08,10:04,24744.0,24752.0,24730.0,24734.0,0.0,538.0
10/08,10:05,24736.0,24766.0,24731.0,24744.0,0.0,513.0
10/08,10:06,24742.0,24751.0,24701.0,24707.0,0.0,606.0
10/08,10:07,24705.0,24734.0,24705.0,24709.0,0.0,365.0
10/08,10:08,24709.0,24735.0,24708.0,24722.0,0.0,375.0
10/08,10:09,24722.0,24760.0,24722.0,24748.0,0.0,300.0
