Date,Time,O,H,L,C,Turn,Vol
10/25,09:15,25996.0,25996.0,25996.0,25996.0,0.0,156.0
10/25,09:16,25993.0,26014.0,25933.0,25945.0,0.0,1493.0
10/25,09:17,25946.0,25949.0,25927.0,25931.0,0.0,443.0
10/25,09:18,25930.0,25956.0,25911.0,25948.0,0.0,538.0
10/25,09:19,25948.0,25952.0,25922.0,25940.0,0.0,491.0
10/25,09:20,25941.0,25955.0,25940.0,25944.0,0.0,318.0
10/25,09:21,25949.0,25954.0,25943.0,25950.0,0.0,401.0
10/25,09:22,25948.0,25956.0,25936.0,25940.0,0.0,346.0
10/25,09:23,25938.0,25945.0,25924.0,25938.0,0.0,189.0
10/25,09:24,25940.0,25940.0,25925.0,25927.0,0.0,168.0
10/25,09:25,25927.0,25932.0,25922.0,25928.0,0.0,131.0
10/25,09:26,25928.0,25941.0,25923.0,25941.0,0.0,197.0
10/25,09:27,25941.0,25956.0,25936.0,25950.0,0.0,212.0
10/25,09:28,25950.0,25965.0,25947.0,25958.0,0.0,300.0
10/25,09:29,25958.0,25996.0,25955.0,25973.0,0.0,446.0
10/25,09:30,25972.0,25998.0,25969.0,25983.0,0.0,234.0
10/25,09:31,25986.0,26005.0,25955.0,25960.0,0.0,1477.0
10/25,09:32,25957.0,26014.0,25939.0,26011.0,0.0,1699.0
10/25,09:33,26010.0,26083.0,26004.0,26069.0,0.0,2415.0
10/25,09:34,26066.0,26074.0,26023.0,26043.0,0.0,990.0
10/25,09:35,26046.0,26060.0,26027.0,26050.0,0.0,535.0
10/25,09:36,26050.0,26052.0,26016.0,26019.0,0.0,530.0
10/25,09:37,26020.0,26075.0,26007.0,26053.0,0.0,1369.0
10/25,09:38,26056.0,26058.0,26021.0,26024.0,0.0,463.0
10/25,09:39,26022.0,26023.0,25988.0,26010.0,0.0,650.0
10/25,09:40,26010.0,26050.0,25996.0,26022.0,0.0,531.0
10/25,09:41,26025.0,26036.0,26001.0,26018.0,0.0,463.0
10/25,09:42,26017.0,26036.0,25997.0,26033.0,0.0,386.0
10/25,09:43,26037.0,26063.0,26023.0,26062.0,0.0,732.0
10/25,09:44,26062.0,26065.0,26023.0,26026.0,0.0,511.0
10/25,09:45,26027.0,26055.0,26017.0,26050.0,0.0,318.0
10/25,09:46,26052.0,26063.0,26032.0,26044.0,0.0,636.0
10/25,09:47,26044.0,26065.0,26035.0,26055.0,0.0,1223.0
10/25,09:48,26059.0,26060.0,26043.0,26049.0,0.0,368.0
10/25,09:49,26049.0,26049.0,26013.0,26030.0,0.0,382.0
10/25,09:50,26028.0,26040.0,26020.0,26021.0,0.0,267.0
10/25,09:51,26019.0,26019.0,25959.0,25974.0,0.0,1076.0
10/25,09:52,25971.0,25978.0,25886.0,25904.0,0.0,1889.0
10/25,09:53,25905.0,25930.0,25893.0,25928.0,0.0,1050.0
10/25,09:54,25928.0,25987.0,25914.0,25973.0,0.0,2170.0
10/25,09:55,25973.0,25993.0,25953.0,25988.0,0.0,564.0
10/25,09:56,25988.0,26010.0,25977.0,26004.0,0.0,1206.0
10/25,09:57,26003.0,26035.0,25991.0,26026.0,0.0,971.0
10/25,09:58,26026.0,26055.0,26021.0,26049.0,0.0,696.0
10/25,09:59,26049.0,26077.0,26049.0,26066.0,0.0,957.0
10/25,10:00,26063.0,26079.0,26053.0,26077.0,0.0,627.0
10/25,10:01,26077.0,26079.0,26058.0,26066.0,0.0,541.0
10/25,10:02,26065.0,26079.0,26058.0,26073.0,0.0,433.0
10/25,10:03,26072.0,26110.0,26062.0,26108.0,0.0,980.0
10/25,10:04,26106.0,26115.0,26087.0,26102.0,0.0,538.0
10/25,10:05,26102.0,26106.0,26086.0,26095.0,0.0,428.0
10/25,10:06,26094.0,26094.0,26060.0,26071.0,0.0,848.0
10/25,10:07,26071.0,26075.0,26056.0,26069.0,0.0,408.0
10/25,10:08,26067.0,26095.0,26062.0,26091.0,0.0,343.0
10/25,10:09,26087.0,26095.0,26077.0,26078.0,0.0,271.0
